3,Tameka2,Fisher,NULL,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278
4,Kasha2,Spence,NULL,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553
5,Tameka3,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820
6,Kasha3,Bean,NULL,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450
7,Tameka4,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215
8,Kasha4,Duncan,NULL,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372
9,Tameka5,Baldwin,NULL,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050
10,Kasha5,Newman,NULL,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950
11,Tameka6,Mendoza,NULL,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952
12,Kasha6,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550
13,Tameka7,Ortiz,NULL,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604
14,Kasha7,Espinoza,NULL,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126
15,Tameka8,Branch,NULL,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901
16,Kasha8,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002
17,Tameka9,Stephens,NULL,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583
18,Kasha9,Hardin,NULL,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424
19,Tameka10,Stein,NULL,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127
20,Kasha10,Shepard,NULL,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478
21,Tameka11,Little,NULL,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904
22,Kasha11,Larsen,NULL,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731
23,Tameka12,English,NULL,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423
24,Kasha12,Wall,NULL,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301
25,Tameka13,Vaughan,NULL,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541
26,Kasha13,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561
27,Tameka14,Valencia,NULL,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104
28,Kasha14,Frost,NULL,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562
29,Tameka15,Hendricks,NULL,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541
30,Kasha15,Albert,NULL,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505
31,Tameka16,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
32,Kasha16,Golden,NULL,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831
33,Tameka17,Burke,NULL,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274
34,Kasha17,Woodward,NULL,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731
35,Tameka18,Noble,NULL,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027
36,Kasha18,Mcdaniel,NULL,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090
37,Tameka19,Brady,NULL,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378
38,Kasha19,Browning,NULL,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102
39,Tameka20,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086
40,Kasha20,Butler,NULL,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316
41,Tameka21,Freeman,NULL,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804
42,Kasha21,Quinn,NULL,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418
43,Tameka22,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016
44,Kasha22,Johns,NULL,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003
45,Tameka23,Armstrong,NULL,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714
46,Kasha23,Berg,NULL,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316
47,Tameka24,Guerra,NULL,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580
48,Kasha24,Jackson,NULL,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090
49,Tameka25,Hays,NULL,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450
50,Kasha25,Booth,NULL,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478
51,Tameka26,Rhodes,NULL,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566
52,Kasha26,Ramirez,NULL,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369
53,Tameka27,Garner,NULL,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740
54,Kasha27,Yang,NULL,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501
55,Tameka28,Guerra,NULL,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566
56,Kasha28,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016
57,Tameka29,Henry,NULL,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451
58,Kasha29,Dorsey,NULL,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722
59,Tameka30,Stanley,NULL,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570
60,Kasha30,Mccall,NULL,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070
